conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,stance
1757981955923259815,Thu Feb 15 04:32:57 +0000 2024,29,@kompascom Dahsyatnya Effect : ~ Cawe-cawe Jokowi ~ seluruh kabinet pemerintahannya ~ Scandal Mahkamah Konstitusi &amp; KPU ~ Anggaran Bansos yg naik signifikan. ~ Penempatan Pj. Ka Daerah dari Pemerintah ~ Penambahan masa jabatan Kades ~ Pengerahan BuzzeRp #IDirtyVoteReal #ScandalKonstitusi,1757986330666213755,,kompascom,in,Indonesia,1,3,4,https://twitter.com/Ombahku/status/1757986330666213755,387748122,Ombahku,tidak
1757981955923259815,Thu Feb 15 04:42:32 +0000 2024,20,@kompascom Percuma melapor kalau semua sdh dibawah ketek lu,1757988740101013688,,kompascom,in,Jakarta,1,1,1,https://twitter.com/kangmirdja/status/1757988740101013688,72010193,kangmirdja,tidak
1757981955923259815,Thu Feb 15 04:39:22 +0000 2024,9,@kompascom Hebatnya JOKOwi Bisa Meramalkan Hasil Pemilu Dengan Menyatakan Prabowo Akan Menang Satu Putaran Padahal pencoblosan Belum Dimulai .,1757987946601615729,,kompascom,in,malang jatim,0,2,0,https://twitter.com/jarannungging/status/1757987946601615729,1675778840,jarannungging,tidak
1757981955923259815,Thu Feb 15 08:35:21 +0000 2024,2,@kompascom Percuma lapor2 ke mna udah GK ada yng d percaya institut semua d indonesia buang2 tenaga dan pikiran tinggal lihat aja ke depan semua perbuatan pasti d minta pertanggung jawabnya ,1758047332497822124,,kompascom,in,"DKI Jakarta, Indonesia",0,0,0,https://twitter.com/NiaKurniat97100/status/1758047332497822124,1747781395555237888,NiaKurniat97100,tidak
1757981955923259815,Thu Feb 15 04:45:03 +0000 2024,2,@kompascom Bawaslu @KPU_ID udah kalian setting gimana coba,1757989373881339970,,kompascom,in,,0,0,0,https://twitter.com/Ifundvm04/status/1757989373881339970,1544247029202751489,Ifundvm04,tidak
1757981955923259815,Thu Feb 15 05:34:55 +0000 2024,0,@kompascom Bawaslu udah naik tukinnya msh bisa berharap? Kpu udah 2 X kena peringatan terakhir masih bisa dipercaya?,1758001924136386662,,kompascom,in,,0,0,0,https://twitter.com/G4L1Le0/status/1758001924136386662,2263034047,G4L1Le0,tidak
1757981955923259815,Thu Feb 15 18:13:40 +0000 2024,0,@kompascom Kalo lapor presiden curang ke siapa pak?,1758192871583465978,,kompascom,in,,0,0,0,https://twitter.com/Rengkudewo58746/status/1758192871583465978,1704088759170744320,Rengkudewo58746,tidak
1757981955923259815,Thu Feb 15 23:00:13 +0000 2024,0,@kompascom Menertawakan.,1758264980661731720,,kompascom,in,DKI Jakarta,0,0,0,https://twitter.com/Kush_wandi/status/1758264980661731720,89348955,Kush_wandi,tidak
1757981955923259815,Thu Feb 15 07:18:27 +0000 2024,0,@kompascom Mulai kelihatan licik dan culas nya...,1758027980029476938,,kompascom,in,Bogor,0,0,0,https://twitter.com/frans_pra/status/1758027980029476938,3031455911,frans_pra,tidak
1757981955923259815,Thu Feb 15 04:33:42 +0000 2024,0,@kompascom KPU &amp; BAWASLU udah di pegang kocak.. Enak Bawaslu kemarin udah naik tunjangannya ,1757986518831161416,,kompascom,in,,0,0,0,https://twitter.com/ardhy_nugraha06/status/1757986518831161416,1635117348217823233,ardhy_nugraha06,tidak
